Symbol,Date,Recommendation,CurrentPrice,Reason
INFY,2026-03-17T05:34:42.9536020Z,Hold,102.15,"Market consolidating."
INFY,2026-03-17T07:56:38.2801313Z,Hold,175.83,"Market consolidating."
INFY,2026-03-17T08:03:51.4578177Z,Hold,259.45,"Market consolidating."
INFY,2026-03-17T08:04:03.5248742Z,Sell,120.73,"Bearish pattern emerging."
INFY,2026-03-17T08:04:25.4711044Z,Buy,157.70,"Strong upward trend detected."
INFY,2026-03-17T08:04:47.1412199Z,Sell,271.42,"Bearish pattern emerging."
INFY,2026-03-17T08:04:56.1186710Z,Sell,291.07,"Bearish pattern emerging."
INFY,2026-03-17T08:07:13.7049755Z,Hold,275.93,"Market consolidating."
INFY,2026-03-17T08:08:16.0423693Z,Buy,180.94,"Strong upward trend detected."
INFY,2026-03-17T08:14:40.9921034Z,Hold,170.72,"Market consolidating."
INFY,2026-03-17T14:44:38.7389867Z,Sell,160.83,"Bearish pattern emerging."
INFY,2026-03-17T15:12:44.4333235Z,Hold,220.94,"Market consolidating."
INFY,2026-03-18T05:31:05.2774257Z,Buy,235.54,"Strong upward trend detected."
INFY,2026-03-18T06:34:01.1417251Z,Hold,256.01,"Market consolidating."
INFY,2026-03-19T12:39:51.6509678Z,Hold,154.94,"Market consolidating."
INFY,2026-03-28T04:39:30.7223162Z,Sell,169.34,"Bearish pattern emerging."
INFY,2026-03-28T04:41:14.4719537Z,Hold,194.02,"Market consolidating."
RELIANCE,2026-03-28T04:41:28.3859590Z,Sell,111.54,"Bearish pattern emerging."
ONGC,2026-03-28T04:42:01.2140168Z,Buy,162.63,"Strong upward trend detected."
RELIANCE,2026-03-28T04:46:36.6173723Z,Sell,291.76,"Bearish pattern emerging."
RELIANCE,2026-03-28T04:47:06.6825973Z,Sell,180.45,"Bearish pattern emerging."
INFY,2026-03-30T03:42:06.2536862Z,Hold,237.29,"Market consolidating."
INFY,2026-04-03T11:23:40.2548227+05:30,Buy,1300.8,"Price of 1300.8 is showing strength with 3.57% volatility."
BTC-USD,2026-04-04T11:57:01.9764573+05:30,Buy,66934.02,"Price of 66934.02 is showing strength with 0.23% volatility."
BTC-USD,2026-04-04T11:57:25.2083070+05:30,Buy,66934.02,"Price of 66934.02 is showing strength with 0.23% volatility."
HCL,2026-04-05T11:59:51.3788152+05:30,Buy,0,"Price of 0 is showing strength with 0% volatility."
ASIANPAINTS,2026-04-05T12:02:38.4877720+05:30,Buy,0,"Price of 0 is showing strength with 0% volatility."
ASIANPAINTSOP,2026-04-05T12:02:51.1007411+05:30,Buy,0,"Price of 0 is showing strength with 0% volatility."
RIL,2026-04-05T12:03:03.1687655+05:30,Buy,0,"Price of 0 is showing strength with 0% volatility."
RELIANCE,2026-04-05T12:04:02.9756996+05:30,Buy,1350.5,"Price of 1350.5 is showing strength with 2.21% volatility."
HDFCBANK,2026-04-05T21:44:52.0246425+05:30,Buy,750.9,"Price of 750.9 is showing strength with 3.82% volatility."
TCS,2026-04-10T11:27:08.9949878+05:30,Buy,2506.2,"Price of 2506.2 is showing strength with 2.50% volatility."
WIPRO,2026-04-10T11:27:47.0942584+05:30,Buy,200.93,"Price of 200.93 is showing strength with 3.98% volatility."
ETERNAL,2026-04-10T11:28:09.8981796+05:30,Buy,240.0,"Price of 240.0 is showing strength with 1.84% volatility."
TATASTEEL,2026-04-10T11:28:34.0556389+05:30,Buy,205.87,"Price of 205.87 is showing strength with 1.58% volatility."
KOTAKBANK,2026-04-10T11:33:01.0433483+05:30,Buy,378.55,"Price of 378.55 is showing strength with 1.73% volatility."
LODHA,2026-04-10T11:33:38.7464254+05:30,Buy,840.85,"Price of 840.85 is showing strength with 6.59% volatility."
ADANIENSOL,2026-04-10T11:33:52.9269273+05:30,Buy,1126.9,"Price of 1126.9 is showing strength with 4.51% volatility."
CHOLAFIN,2026-04-10T11:34:08.3393580+05:30,Buy,1575.0,"Price of 1575.0 is showing strength with 2.19% volatility."
DLF,2026-04-10T11:56:05.2099439+05:30,Buy,573.55,"Price of 573.55 is showing strength with 2.10% volatility."
DIVISLAB,2026-04-10T11:56:22.8604098+05:30,Buy,6095.0,"Price of 6095.0 is showing strength with 2.76% volatility."
GAIL,2026-04-10T11:56:37.9147440+05:30,Buy,152.35,"Price of 152.35 is showing strength with 2.02% volatility."
CUMMINSIND,2026-04-10T11:59:57.7903517+05:30,Buy,4949.9,"Price of 4949.9 is showing strength with 1.45% volatility."
CGPOWER,2026-04-10T12:00:14.3528882+05:30,Buy,725.05,"Price of 725.05 is showing strength with 2.16% volatility."
INFY,2026-04-11T22:11:31.1329443+05:30,Buy,1292.5,"Price of 1292.5 is showing strength with 2.67% volatility."
